Age,Survived,Sex,SibSp,Parch,Fare,Cabin,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Title_Master.,Title_Miss.,Title_Mr.,Title_Mrs.,Title_Rare
22.0,0,1,1,0,1.9810014688665833,0,0,0,1,0,0,1,0,0,1,0,0
38.0,1,0,1,0,4.26666207838721,1,1,0,0,1,0,0,0,0,0,1,0
26.0,1,0,0,0,2.0700223197633445,0,0,0,1,0,0,1,0,1,0,0,0
35.0,1,0,1,0,3.9721769282478934,1,1,0,0,0,0,1,0,0,0,1,0
35.0,0,1,0,0,2.0856720914304723,0,0,0,1,0,0,1,0,0,1,0,0
0.0,0,1,0,0,2.135148207799377,0,0,0,1,0,1,0,0,0,1,0,0
54.0,0,1,0,0,3.948595985658986,2,1,0,0,0,0,1,0,0,1,0,0
2.0,0,1,3,1,3.048087503887919,0,0,0,1,0,0,1,1,0,0,0,0
27.0,1,0,0,2,2.409940617298087,0,0,0,1,0,0,1,0,0,0,1,0
14.0,1,0,1,0,3.4035546012358333,0,0,1,0,1,0,0,0,0,0,1,0
4.0,1,0,1,1,2.8154087194227095,3,0,0,1,0,0,1,0,1,0,0,0
58.0,1,0,0,0,3.279029747687948,1,1,0,0,0,0,1,0,1,0,0,0
20.0,0,1,0,0,2.0856720914304723,0,0,0,1,0,0,1,0,0,1,0,0
39.0,0,1,1,5,3.442819056352975,0,0,0,1,0,0,1,0,0,1,0,0
14.0,0,0,0,0,2.061048420562944,0,0,0,1,0,0,1,0,1,0,0,0
55.0,1,0,0,0,2.772588722239781,0,0,1,0,0,0,1,0,0,0,1,0
2.0,0,1,4,1,3.371596911885865,0,0,0,1,0,1,0,1,0,0,0,0
0.0,1,1,0,0,2.5649493574615367,0,0,1,0,0,0,1,0,0,1,0,0
31.0,0,0,1,0,2.8903717578961645,0,0,0,1,0,0,1,0,0,0,0,1
0.0,1,0,0,0,1.9775472339984959,0,0,0,1,1,0,0,0,0,0,1,0
35.0,0,1,0,0,3.258096538021482,0,0,1,0,0,0,1,0,0,1,0,0
34.0,1,1,0,0,2.5649493574615367,4,0,1,0,0,0,1,0,0,1,0,0
15.0,1,0,0,0,2.0830848965946345,0,0,0,1,0,1,0,0,1,0,0,0
28.0,1,1,0,0,3.56953269648137,5,1,0,0,0,0,1,0,0,1,0,0
